"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"MEX3A",17.0407653724018,2.40002795189165,0.354639311237101,6.76751808342832,1.31010280650927e-11,7.39808664090388e-10,"92312"
"MMP9",20.8913783041529,2.44046214198917,0.362167646177509,6.73848745945965,1.60043867999557e-11,8.79623894091335e-10,"4318"
"MROH1",72.5443856713872,1.24254584672687,0.184515553455533,6.73409814759229,1.64949810858642e-11,8.96764499541414e-10,"727957"
"INCENP",17.7486898834121,1.22872941722912,0.182888391286243,6.71846588286738,1.8364772860617e-11,9.80266060300712e-10,"3619"
"IQGAP3",17.1488099368589,2.54641500790444,0.379014277454274,6.71852001198465,1.83579534503268e-11,9.80266060300712e-10,"128239"
"CTHRC1",45.1483495174911,2.23872304580459,0.33352219339961,6.71236604372608,1.91493577287895e-11,1.01438636628236e-09,"115908"
"HDGF",113.244086173454,1.29034517041546,0.192439419479629,6.70520194825286,2.01128016961798e-11,1.05532383290834e-09,"3068"
"GPI",119.080615109406,1.03961533833381,0.155624777630325,6.68026874745703,2.38504462053412e-11,1.22032586910312e-09,"2821"
"TYMS",20.0491290981437,2.01125509813646,0.3014875051448,6.67110597890445,2.53882793363876e-11,1.28481341494145e-09,"7298"
"AURKA",6.7816133568115,1.74853425405006,0.262863647035851,6.65186789336293,2.89396410471865e-11,1.4409140631075e-09,"6790"
"ESPL1",7.15287975182026,1.57165048160509,0.239361265386859,6.56601843688017,5.16784202380576e-11,2.46063676002392e-09,"9700"
"NUP210",26.3964038255817,1.62091556639322,0.24729099761116,6.55468893753238,5.57579794170977e-11,2.64130254415213e-09,"23225"
"OAS3",35.5144808734689,1.29681451179084,0.197990673633674,6.5498767592974,5.75845852669529e-11,2.71394831632189e-09,"4940"
"UBE2C",17.9196698271795,1.59380502884604,0.243505292789281,6.54525825943852,5.93926580171298e-11,2.78498939694501e-09,"11065"
"LLGL2",64.0546825776597,1.29940949701081,0.198577861852409,6.54357683625669,6.00646018381163e-11,2.80938524051917e-09,"3993"
"ADAR",100.288626167597,0.856890713708842,0.13167109513763,6.5078118535672,7.62533370777355e-11,3.46167722880837e-09,"103"
"NCAPH",3.80993833686823,2.21882305209746,0.342080658312488,6.48625696361524,8.79950392818783e-11,3.94635379559068e-09,"23397"
"HMGA1",93.5181449667392,1.5463785019177,0.238429743854607,6.48567782239731,8.83337461014655e-11,3.95197498862643e-09,"3159"
